CODIGO;COD_PROV;COD_FAB;TIPO;MARCA;PRESENT;DETALLE;ID_PROV;PROVE;STOCK;MINIMO;PTOPEDIR;STKCONS;C_ADQ_ANT;LISTA_ANT;PCIO_ANT;CTO_ADQ;FEC_ADQ;CTO_REP;FEC_ACT;LISTA;MG_RUBRO;MARGEN;PRECIO;ALIC_IVA;PCIOT;COD_ANT;VTO;FACTURA;CREDEN;MONEDA;COTIZ;DTOMAX;DTOEFE;DTOTAR;DTOTARC;STKSUC1;STKSUC2;STKSUC3;ID_MARCA;ID_RUBRO;ID_FLIA;ID_SFLIA;SUBPROD;CODIVA;STKINI;ID_MI;STKINI1
5481;24614;;;BUSHNELL;;MIRA BUSHNELL 1X25 M.RXS100 REFLEX SIDE MOA ILUM (24614);1217;BOWIE SRL;0;1;1;0;0;0;0;0;2023-11-21;97.8065;2023-11-21;0;30;55;151.6;0.21;183.436;A5481;;0;0;USD;1050;20;0;0;0;0;0;0;40;11;36;44;0;5;0;0;0
5482;24515;;;BUSHNELL;;MIRA BUSHNELL 1-6X24 M.RT1624BS15 TRIPHY ACQUISITI(24515);1217;BOWIE SRL;0;1;1;0;0;0;0;0;2023-11-21;180.9917;2023-11-21;0;30;55;280.5372;0.21;339.45;A5482;;0;0;USD;1050;20;0;0;0;0;0;0;40;11;36;44;0;5;0;0;0
5501;24524;;;BUSHNELL;;MIRA BUSHNELL 1-6X24 BDC ILUM M.AR71624I(24524);1217;BOWIE SRL;1;1;1;0;321.3;0;495.04;321.3;2025-04-28;321.3;2025-04-28;321.3;30;54.0745;495.0413;0.21;599;A5501;;0;0;USD;1050;20;0;0;0;0;0;0;40;11;32;75;0;5;0;0;0
5502;24386;;;BUSHNELL;;BINOC BUSHNELL 8X21 M.PWV821  POWERVIEW (24386);1217;BOWIE SRL;0;1;1;0;30.24;0;60.33;27.22;2025-10-21;27.22;2025-10-21;27.22;30;100.3876;54.5455;0.21;66;A5502;;0;0;USD;1050;20;0;0;0;0;0;0;40;11;36;10;0;5;0;0;0
5510;15195;;;RUGER;;PIST RUGER C.380 M.LCP MAX PAV  10+1 (15195);1217;BOWIE SRL;0;1;1;0;0;0;0;0;2023-11-21;565.0909;2023-11-21;0;30;45;819.3818;0.21;991.452;A5510;;0;1;USD;1050;6;0;0;0;0;0;0;187;2;39;72;1;5;0;0;0
6060;;;;VICTORINOX;;CUCHILLO VICTORINOX M.3.0902.3 VENTURRE C/FUNDA;1217;BOWIE SRL;1;1;1;0;79.2;61.85;157.02;75.24;2025-10-21;75.24;2025-10-21;75.24;30;97.7144;148.7603;0.21;180;A5299;;0;0;USD;1050;20;0;0;0;1;0;0;228;6;20;69;0;5;1;0;0
6061;;;;VICTORINOX;;ESTUCHE VICTORINOX SILICONA P/0.6223 COL VARIOS;1217;BOWIE SRL;1;1;1;0;12.6;0;25.2;12.6;2024-05-02;12.6;2024-05-02;12.6;30;99.9865;25.1983;0.21;30.49;A5315;;0;0;USD;1050;20;0;0;0;0;0;0;228;6;19;69;0;5;3;0;0
6062;26178;;;MAGLITE;;LINT MAGLITE M.ML25LT-S3016 LED 3C NEGRA (26178);1217;BOWIE SRL;1;1;1;0;35.17;0;61.55;31.66;2024-05-02;31.66;2024-05-02;31.66;30;75;55.405;0.21;67.04;A1544;;0;0;USD;1050;20;0;0;0;0;0;0;134;5;25;41;0;5;1;0;0
6063;26177;;;MAGLITE;;LINT MAGLITE M.ML25LT-S2016 LED 3C NEGRA (26177);1217;BOWIE SRL;0;1;1;0;32.34;0;56.6;29.11;2024-05-02;29.11;2024-05-02;29.11;30;74.9986;50.9421;0.21;61.64;A1544;;0;0;USD;1050;20;0;0;0;0;0;0;134;5;25;41;0;5;0;0;0
6064;22935/6/7/8/9/41/48/;;;VICTORINOX;;CORTAP VICTORINOX 0.6223 CLASSIC COL. VARIOS 7 USOS (22935/6/7/8/9/41/48/49);1217;BOWIE SRL;11;1;1;0;22.1;0;44.2;22.1;2024-05-02;22.11;2024-05-02;22.11;30;100.014;44.2231;0.21;53.51;A5315;;0;0;USD;1050;20;0;0;0;0;0;0;228;6;19;69;0;5;13;0;0
